2025-08-23 07:10:51,880 - root - INFO - Logging configured successfully.
2025-08-23 07:10:51,880 - __main__ - INFO - =================================
2025-08-23 07:10:51,880 - __main__ - INFO - Hydraulic Digital Twin Simulation
2025-08-23 07:10:51,881 - __main__ - INFO - =================================
2025-08-23 07:10:51,905 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.993, b1=0.100, delay=5
2025-08-23 07:10:51,906 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.994, b1=0.100, delay=5
2025-08-23 07:10:51,907 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.994, b1=0.100, delay=5
2025-08-23 07:10:51,908 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.994, b1=0.100, delay=5
2025-08-23 07:10:51,909 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.995, b1=0.100, delay=5
2025-08-23 07:10:51,909 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.996, b1=0.100, delay=5
2025-08-23 07:10:51,910 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
2025-08-23 07:10:51,911 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
2025-08-23 07:10:51,911 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.999, b1=0.100, delay=5
2025-08-23 07:10:51,912 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.000, b1=0.100, delay=5
2025-08-23 07:10:51,913 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.001, b1=0.100, delay=5
2025-08-23 07:10:51,913 - digital_twin_hydraulic_system.simulation_manager - INFO - T= 40.0s | dt=1.000s | h_upstream=2.559, h_gate_up=2.500
2025-08-23 07:10:51,914 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,915 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.003, b1=0.100, delay=5
2025-08-23 07:10:51,915 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.004, b1=0.100, delay=5
2025-08-23 07:10:51,916 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.004, b1=0.100, delay=5
2025-08-23 07:10:51,917 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.005, b1=0.100, delay=5
2025-08-23 07:10:51,918 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.005, b1=0.100, delay=5
2025-08-23 07:10:51,918 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.005, b1=0.100, delay=5
2025-08-23 07:10:51,919 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.005, b1=0.100, delay=5
2025-08-23 07:10:51,920 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.004, b1=0.100, delay=5
2025-08-23 07:10:51,921 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.004, b1=0.100, delay=5
2025-08-23 07:10:51,921 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.003, b1=0.100, delay=5
2025-08-23 07:10:51,922 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.003, b1=0.100, delay=5
2025-08-23 07:10:51,923 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.002, b1=0.100, delay=5
2025-08-23 07:10:51,924 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.001, b1=0.100, delay=5
2025-08-23 07:10:51,925 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.001, b1=0.100, delay=5
2025-08-23 07:10:51,925 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=1.000, b1=0.100, delay=5
2025-08-23 07:10:51,926 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.999, b1=0.100, delay=5
2025-08-23 07:10:51,927 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
2025-08-23 07:10:51,927 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
2025-08-23 07:10:51,928 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
2025-08-23 07:10:51,928 - digital_twin_hydraulic_system.simulation_manager - INFO - T= 60.0s | dt=1.000s | h_upstream=2.570, h_gate_up=2.500
2025-08-23 07:10:51,929 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
2025-08-23 07:10:51,929 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
2025-08-23 07:10:51,930 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.996, b1=0.100, delay=5
2025-08-23 07:10:51,931 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.996, b1=0.100, delay=5
2025-08-23 07:10:51,932 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.996, b1=0.100, delay=5
2025-08-23 07:10:51,932 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
2025-08-23 07:10:51,933 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
2025-08-23 07:10:51,934 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
2025-08-23 07:10:51,935 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.997, b1=0.100, delay=5
2025-08-23 07:10:51,935 - digital_twin_hydraulic_system.models.id_channel_model - DEBUG - Model B parameters updated: a1=0.998, b1=0.100, delay=5
